title,description,link,content
"Não há mais risco de tsunami na Califórnia, dizem autoridades","Terremoto de magnitude 7,0 foi sentido a cerca de 60 km da cidade de Petrolia, nesta quinta-feira (5). Alerta para tsunami chegou a ser emitido para baía de San Francisco, mas cancelado uma hora depois.",https://g1.globo.com/mundo/noticia/2024/12/05/nao-ha-mais-risco-de-tsunami-na-california-dizem-autoridades.ghtml, ✅ Clique aqui para seguir o canal de notícias internacionais do g1 no WhatsApp
Ministro diz que projeto do túnel Santos-Guarujá deve ser encaminhado ao TCU para licitação em 2025,"Declaração do ministro de Portos e Aeroportos, Silvio Costa Filho, aconteceu em um evento em Brasília (DF). Obra é aguardada há quase 100 anos na Baixada Santista.",https://g1.globo.com/sp/santos-regiao/porto-mar/noticia/2024/12/05/ministro-diz-que-projeto-do-tunel-santos-guaruja-deve-ser-encaminhado-ao-tcu-para-licitacao-em-2025.ghtml, ✅ Clique aqui para seguir o novo canal do g1 Santos no WhatsApp.
"Vencedora no Prêmio Multishow, Viviane Batidão promete músicas e parcerias novas para 2025: 'É o Pará no topo!'","Com mais de 25 anos de carreira, a artista têm se destacado no cenário musical nacional, levando o prêmio na categoria ""Brasil"".",https://g1.globo.com/pa/para/noticia/2024/12/05/vencedora-no-premio-multishow-viviane-batidao-promete-musicas-e-parcerias-novas-para-2025-e-o-para-no-topo.ghtml, 📲 Acesse o canal do g1 Pará no WhatsApp
Juiz exige que paciente internado compareça ao fórum para dar continuidade a processo de transferência hospitalar,"Maurílio Rodrigues Araújo, de 60 anos, está sob cuidados na Santa Casa de Ouro Preto desde o último 18 de novembro, em razão de feridas que levaram à amputação do dedão do pé direito. Idoso necessita de procedimento que não é feito em hospitais da região.",https://g1.globo.com/mg/minas-gerais/noticia/2024/12/05/juiz-exige-que-paciente-internado-compareca-ao-forum-para-dar-continuidade-a-processo-de-transferencia-hospitalar.ghtml,
VÍDEO: Homem recebe alta dois dias após ser agredido na maca com cerca de 30 facadas por mulher que invadiu hospital no Paraná,"Homem estava no hospital em Quedas do Iguaçu após ter sido esfaqueado pela mesma mulher na rua. Suspeita é Nilaine de Almeida, que foi presa. Ela não possui defesa constituída.",https://g1.globo.com/pr/oeste-sudoeste/noticia/2024/12/05/video-homem-recebe-alta-dois-dias-apos-ser-agredido-na-maca-com-cerca-de-30-facadas-por-mulher-que-invadiu-hospital-no-parana.ghtml, ✅ Siga o canal do g1 PR no WhatsApp✅ Siga o canal do g1 PR no Telegram
Homem é preso em Belém por armazenar conteúdo de abuso sexual infantil,Prisão é resultado da operação “Rede Segura” da Polícia Civil realizada nesta quinta-feira (5).,https://g1.globo.com/pa/para/noticia/2024/12/05/homem-e-preso-em-belem-por-armazenar-conteudo-de-abuso-sexual-infantil.ghtml, 📲 Acesse o canal do g1 Pará no WhatsApp
MPMG faz operação com foco na administração municipal de Jaíba,"Segundo o MPMG, a ação teve como objetivo desarticular um esquema criminoso instalado na administração municipal que tem a participação de agentes públicos e privados. Estão sob investigação os crimes contra a administração pública e a lavagem de dinheiro.",https://g1.globo.com/mg/grande-minas/noticia/2024/12/05/mpmg-faz-operacao-com-foco-na-administracao-municipal-de-jaiba.ghtml, 📲Clique aqui para seguir o canal do g1 Grande Minas no WhatsApp
Suspeito de envolvimento na morte de PM em 2017 é assassinado a tiros em Barra Mansa,"Ricardo Santos de Oliveira, conhecido como 'Tim Tim', também era apontado pela polícia como autor do tiro que matou um funcionário de uma loja durante um assalto.",https://g1.globo.com/rj/sul-do-rio-costa-verde/noticia/2024/12/05/morte-barra-mansa.ghtml,
Agência da Caixa Econômica Federal de Caruaru é alvo de arrombamento; dupla é detida pela Guarda Civil,"Caso foi registrado na madrugada da quinta-feira (5), no Centro.",https://g1.globo.com/pe/caruaru-regiao/noticia/2024/12/05/agencia-da-caixa-economica-federal-de-caruaru-e-alvo-de-arrombamento-dupla-e-detida-pela-guarda-civil.ghtml, ✅ Receba as notícias do g1 Caruaru e região no seu WhatsApp
Top TV Integração 2024 vai premiar as marcas mais lembradas de Uberaba,"A festa de premiação será realizada no Centro de Eventos da Associação Brasileira dos Criadores de Zebu (ABCZ), a partir das 19h30 desta sexta-feira (6).",https://g1.globo.com/mg/triangulo-mineiro/noticia/2024/12/05/top-tv-integracao-2024-vai-premiar-as-marcas-mais-lembradas-de-uberaba.ghtml," 🔔 Receba no WhatsApp as notícias do Triângulo e região 📲 Siga o g1 Triângulo no Instagram, Facebook e X"
